date,bM,bZ,M8M7,Z8Z7
2022-12-28,,,5.500000000000682,3.0000000000001137
2022-12-29,,,5.500000000000682,4.4999999999987494
2022-12-30,,,6.000000000000227,3.0000000000001137
2023-01-02,,,5.499999999999261,3.000000000000158
2023-01-03,,,5.500000000000682,3.999999999999204
2023-01-04,,,5.499999999999261,4.000000000000625
2023-01-05,,,4.5000000000001705,3.499999999999659
2023-01-06,,,4.5000000000001705,3.0000000000001137
2023-01-09,,,4.999999999999716,3.499999999999659
2023-01-10,,,5.000000000001137,2.500000000000613
2023-01-11,,,5.500000000000682,3.50000000000108
2023-01-12,,,5.999999999998806,3.0000000000001137
2023-01-13,,,6.000000000000227,3.50000000000108
2023-01-16,,,6.499999999999773,4.999999999999716
2023-01-17,,,7.499999999998863,5.499999999999261
2023-01-18,,,4.999999999999716,3.4999999999997033
2023-01-19,,,4.999999999999716,3.499999999999659
2023-01-20,,,4.5000000000001705,2.000000000001023
2023-01-23,,,5.499999999999261,3.499999999999659
2023-01-24,,,5.499999999999261,3.0000000000001137
2023-01-25,,,4.999999999999716,3.0000000000001137
2023-01-26,,,4.99999999999976,2.5000000000005684
2023-01-27,,,4.5000000000001705,2.5000000000005684
2023-01-30,,,4.000000000000625,2.4999999999991473
2023-01-31,,,4.999999999999716,3.0000000000001137
2023-02-01,,,4.000000000000581,2.4999999999991473
2023-02-02,,,4.500000000000126,3.0000000000001137
2023-02-03,,,4.4999999999987494,2.4999999999991473
2023-02-06,,,4.5000000000001705,2.5000000000005684
2023-02-07,,,4.5000000000001705,3.0000000000001137
2023-02-08,0.991463733961795,0.9745172193810033,4.000000000000625,3.0000000000001137
2023-02-09,0.9914607147698256,0.9764428491731753,4.000000000000625,2.4999999999991473
2023-02-10,0.9861085801595462,0.9778959418832212,2.5000000000005684,1.0000000000005116
2023-02-13,0.9836047535211492,0.9769713154104545,1.999999999999602,0.49999999999954525
2023-02-14,0.9840555900728016,0.9827749443818767,2.000000000001023,0.5000000000009663
2023-02-15,0.9850298894176502,0.9837123699581755,3.499999999999659,1.5000000000000568
2023-02-16,0.9892062182713531,0.9858282534147307,4.5000000000001705,2.4999999999991473
2023-02-17,0.9889944972486516,0.9807486474202047,4.000000000000625,2.4999999999991473
2023-02-20,0.9886016044324152,0.9810565517645881,2.4999999999991473,1.5000000000000568
2023-02-21,0.9888442025381488,0.9833111970895659,2.5000000000005684,1.0000000000005116
2023-02-22,0.9921641712022978,0.9901510983875412,3.0000000000001137,1.5000000000000568
2023-02-23,0.9956625367718331,0.9882387106142022,2.4999999999991473,1.5000000000000568
2023-02-24,0.996116823452228,0.9896246817597033,2.5000000000005684,1.0000000000005116
2023-02-27,0.9983594454926059,0.9938133990330398,4.5000000000001705,2.4999999999991473
2023-02-28,1.0095145802132226,1.00248291189425,5.500000000000682,4.000000000000625
2023-03-01,0.997688082845722,0.9868928988239519,6.000000000000227,3.499999999999659
2023-03-02,0.9977882172299982,0.9866726710644826,5.499999999999261,3.499999999999659
2023-03-03,1.002261566296224,0.9967160334835706,5.000000000001137,3.499999999999659
2023-03-06,1.0015707237363256,0.9966180270557741,4.5000000000001705,2.5000000000005684
2023-03-07,1.0037114681833752,0.9969877240301384,3.499999999999659,2.000000000001023
2023-03-08,1.0094957998202287,0.9969604326081968,2.5000000000005684,1.999999999999602
2023-03-09,1.009413650391163,0.9978284152164776,3.0000000000001137,1.9999999999995577
2023-03-10,1.0048999012380953,0.9978770641904474,3.499999999999659,1.999999999999602
2023-03-13,1.0029688218926194,0.9956022477400466,4.999999999999716,3.499999999999659
2023-03-14,0.9551410909420944,0.9141608605305126,-1.999999999999602,-9.999999999999387
2023-03-15,0.9471764232780259,0.9266212884285652,-0.5000000000009663,-13.500000000000512
2023-03-16,0.9212472119527426,0.8764509460963994,1.999999999999602,-7.500000000000284
2023-03-17,0.8751708428246561,0.8233625240450634,6.499999999999773,-2.5000000000005684
2023-03-20,0.8452256182194601,0.7929838874159187,3.499999999999659,-2.4999999999991473
2023-03-21,0.837701722083875,0.7947293221146665,1.5000000000000568,-3.0000000000001137
2023-03-22,0.8443199113215091,0.8030519835973134,1.999999999999602,-3.0000000000001137
2023-03-23,0.8299716108954893,0.7853314398277965,4.5000000000001705,-0.5000000000009663
2023-03-24,0.8353955442903216,0.7889812036589849,4.5000000000001705,0.0
2023-03-27,0.8390196143507034,0.7926909579698878,6.000000000000227,0.49999999999958966
2023-03-28,0.8309838485510549,0.7815429797808965,5.499999999999261,0.0
2023-03-29,0.8269112460900189,0.771124121113242,5.499999999999261,1.999999999999602
2023-03-30,0.825334858989057,0.7670837343599942,4.5000000000001705,0.49999999999954525
2023-03-31,0.8263354260382789,0.7723859354244341,5.000000000001137,0.49999999999954525
2023-04-03,0.8335920039732156,0.7737132917221198,5.499999999999261,1.999999999999602
2023-04-04,0.8165624326073136,0.7525802752293876,6.000000000000227,2.000000000001023
2023-04-05,0.8173027729458973,0.753678690009091,6.499999999999773,2.4999999999991473
2023-04-06,0.8134159704150364,0.750164159077319,6.000000000000227,1.999999999999602
2023-04-10,0.8119528866843743,0.7494521127302429,6.000000000000227,1.999999999999602
2023-04-11,0.8144207648473488,0.7519382706933934,6.000000000000227,2.000000000001023
2023-04-12,0.8101682001507436,0.7438549889633308,6.499999999999728,2.9999999999986926
