date,z26_price,u27_price,source,price_spread,rate_slope_bp,entry_combo_slope_bp,entry_leg_average_slope_bp
2026-09-18,95.75,95.12,Barchart settlement,-0.6299999999999955,62.999999999999545,62.5,62.300000000000466
2026-09-21,95.8,95.235,Barchart settlement,-0.5649999999999977,56.49999999999977,62.5,62.300000000000466
2026-09-22,95.8,95.23,Barchart settlement,-0.5699999999999932,56.99999999999932,62.5,62.300000000000466
2026-09-23,95.765,95.115,Barchart settlement,-0.6500000000000057,65.00000000000057,62.5,62.300000000000466
2026-09-24,95.765,95.11,Barchart settlement,-0.6550000000000011,65.50000000000011,62.5,62.300000000000466
2026-09-25,95.82,95.22,IBKR displayed mark,-0.5999999999999943,59.99999999999943,62.5,62.300000000000466
