window,n_sessions,beta_Z28_on_U27,beta_Z27_on_U27,beta_Z28_on_Z27,beta_Z28_on_Z26,beta_U27_on_Z26,beta_Z27_on_Z26,corr_Z28_U27,corr_U27_Z26
last_30d,23,0.6508808099777302,0.9570924084998438,0.6935859930053018,1.0705415918610428,1.7994090365049928,1.6611310592458244,0.9413834984276609,0.9399696438960411
last_21_sessions,21,0.6479396428406373,0.9556665589958695,0.6918071207739055,1.057273720480582,1.7909908395662555,1.648920077317281,0.9397519930697791,0.9384132320930182
YTD,183,0.6981758286915941,0.9328356449383828,0.7600261628959695,0.6672848635815124,1.009411123652348,0.9203220072912339,0.9448723761949969,0.9390362161962066
since_2026-08-01,35,0.6918635978754438,0.967746901701163,0.7289868689680824,1.1754927375220339,1.823375714932234,1.7113936551042017,0.9403872945209656,0.9426181511002679
since_2026-08-27,17,0.637346485497755,0.9591880062712,0.6787877726811188,1.0108173076921798,1.7487408424907507,1.6105769230767728,0.9391281610215603,0.9341304763727017
since_2026-09-10,7,,,,,,,,
