date,Z26,H27,M27,U27,Z27,H28,M28,U28,Z28,peak_U,peak_M,y1y1_incl,y1y1_post,y1y1_reds,z28,spread_A_payU27_recv_1y1y_incl,spread_B_payU27_recv_post1y,spread_C_payU27_recv_Z28,spread_D_payM27_recv_post1y,spread_z7z8,spread_u27z26,d_U27,d_M27,d_Z26,d_Z27,d_Z28,d_y1y1_incl,d_y1y1_post,d_peak_U,d_peak_M,d_z28,dspr_A_payU27_recv_1y1y_incl,pnl_A_payU27_recv_1y1y_incl,dspr_B_payU27_recv_post1y,pnl_B_payU27_recv_post1y,dspr_C_payU27_recv_Z28,pnl_C_payU27_recv_Z28,dspr_D_payM27_recv_post1y,pnl_D_payM27_recv_post1y,d_z7z8,pnl_z7z8,d_u27z26,pnl_u27z26_recv
2026-01-02,2.114999999999995,2.1850000000000023,2.2549999999999955,2.325000000000003,2.394999999999996,2.4599999999999937,2.5250000000000057,2.5900000000000034,2.644999999999996,2.325000000000003,2.2549999999999955,2.4590000000000005,2.4924999999999997,2.4924999999999997,2.644999999999996,13.399999999999768,16.749999999999687,31.999999999999318,23.750000000000426,25.0,21.000000000000796,,,,,,,,,,,,,,,,,,,,,,
2026-01-05,2.1099999999999994,2.174999999999997,2.2450000000000045,2.3100000000000023,2.375,2.4399999999999977,2.5,2.5600000000000023,2.614999999999995,2.3100000000000023,2.2450000000000045,2.4370000000000003,2.46875,2.46875,2.614999999999995,12.6999999999998,15.874999999999773,30.49999999999926,22.374999999999545,23.99999999999949,20.000000000000284,-1.5000000000000568,-0.9999999999990905,-0.49999999999954525,-1.999999999999602,-3.0000000000001137,-2.200000000000024,-2.3749999999999716,-1.5000000000000568,-0.9999999999990905,-3.0000000000001137,-0.6999999999999673,0.6999999999999673,-0.8749999999999147,0.8749999999999147,-1.5000000000000568,1.5000000000000568,-1.375000000000881,1.375000000000881,-1.0000000000005116,1.0000000000005116,-1.0000000000005116,1.0000000000005116
2026-01-06,2.075000000000003,2.135000000000005,2.2049999999999983,2.2750000000000057,2.3400000000000034,2.4099999999999966,2.4749999999999943,2.5349999999999966,2.5900000000000034,2.2750000000000057,2.2049999999999983,2.406999999999999,2.4399999999999977,2.4399999999999977,2.5900000000000034,13.199999999999346,16.499999999999204,31.499999999999773,23.499999999999943,25.0,20.000000000000284,-3.499999999999659,-4.000000000000625,-3.499999999999659,-3.499999999999659,-2.4999999999991473,-3.0000000000001137,-2.8750000000002274,-3.499999999999659,-4.000000000000625,-2.4999999999991473,0.49999999999954525,-0.49999999999954525,0.6249999999994316,-0.6249999999994316,1.0000000000005116,-1.0000000000005116,1.125000000000398,-1.125000000000398,1.0000000000005116,-1.0000000000005116,0.0,-0.0
2026-01-07,2.049999999999997,2.105000000000004,2.1700000000000017,2.2349999999999994,2.299999999999997,2.364999999999995,2.424999999999997,2.480000000000004,2.5349999999999966,2.2349999999999994,2.1700000000000017,2.3609999999999984,2.3924999999999983,2.3924999999999983,2.5349999999999966,12.5999999999999,15.749999999999886,29.999999999999716,22.24999999999966,23.499999999999943,18.500000000000227,-4.000000000000625,-3.499999999999659,-2.5000000000005684,-4.000000000000625,-5.500000000000682,-4.600000000000071,-4.749999999999943,-4.000000000000625,-3.499999999999659,-5.500000000000682,-0.5999999999994454,0.5999999999994454,-0.7499999999993179,0.7499999999993179,-1.5000000000000568,1.5000000000000568,-1.2500000000002842,1.2500000000002842,-1.5000000000000568,1.5000000000000568,-1.5000000000000568,1.5000000000000568
2026-01-08,2.0649999999999977,2.125,2.1899999999999977,2.260000000000005,2.325000000000003,2.385000000000005,2.444999999999993,2.5049999999999955,2.5600000000000023,2.260000000000005,2.1899999999999977,2.3840000000000003,2.414999999999999,2.414999999999999,2.5600000000000023,12.399999999999523,15.499999999999403,29.999999999999716,22.500000000000142,23.499999999999943,19.50000000000074,2.5000000000005684,1.999999999999602,1.5000000000000568,2.5000000000005684,2.5000000000005684,2.300000000000191,2.2500000000000853,2.5000000000005684,1.999999999999602,2.5000000000005684,-0.20000000000037765,0.20000000000037765,-0.25000000000048317,0.25000000000048317,0.0,-0.0,0.25000000000048317,-0.25000000000048317,0.0,-0.0,1.0000000000005116,-1.0000000000005116
2026-01-09,2.069999999999993,2.1299999999999955,2.194999999999993,2.260000000000005,2.325000000000003,2.390000000000001,2.450000000000003,2.5049999999999955,2.5600000000000023,2.260000000000005,2.194999999999993,2.3860000000000015,2.4175000000000004,2.4175000000000004,2.5600000000000023,12.599999999999634,15.749999999999531,29.999999999999716,22.250000000000725,23.499999999999943,19.000000000001194,0.0,0.49999999999954525,0.49999999999954525,0.0,0.0,0.2000000000001112,0.2500000000001279,0.0,0.49999999999954525,0.0,0.2000000000001112,-0.2000000000001112,0.2500000000001279,-0.2500000000001279,0.0,-0.0,-0.24999999999941735,0.24999999999941735,0.0,-0.0,-0.49999999999954525,0.49999999999954525
2026-01-12,2.0649999999999977,2.1200000000000045,2.1850000000000023,2.25,2.3100000000000023,2.3700000000000045,2.430000000000007,2.4849999999999994,2.5349999999999966,2.25,2.1850000000000023,2.3690000000000024,2.3987500000000033,2.3987500000000033,2.5349999999999966,11.900000000000244,14.875000000000327,28.49999999999966,21.3750000000001,22.49999999999943,18.500000000000227,-1.0000000000005116,-0.9999999999990905,-0.49999999999954525,-1.5000000000000568,-2.5000000000005684,-1.6999999999999016,-1.8749999999997158,-1.0000000000005116,-0.9999999999990905,-2.5000000000005684,-0.69999999999939,0.69999999999939,-0.8749999999992042,0.8749999999992042,-1.5000000000000568,1.5000000000000568,-0.8750000000006253,0.8750000000006253,-1.0000000000005116,1.0000000000005116,-0.5000000000009663,0.5000000000009663
2026-01-13,2.0600000000000023,2.1200000000000045,2.180000000000007,2.2450000000000045,2.3100000000000023,2.3700000000000045,2.430000000000007,2.4849999999999994,2.5400000000000063,2.2450000000000045,2.180000000000007,2.3680000000000034,2.3987500000000033,2.3987500000000033,2.5400000000000063,12.299999999999889,15.374999999999872,29.50000000000017,21.874999999999645,23.000000000000398,18.500000000000227,-0.49999999999954525,-0.49999999999954525,-0.49999999999954525,0.0,0.5000000000009663,-0.09999999999990017,0.0,-0.49999999999954525,-0.49999999999954525,0.5000000000009663,0.3999999999996451,-0.3999999999996451,0.49999999999954525,-0.49999999999954525,1.0000000000005116,-1.0000000000005116,0.49999999999954525,-0.49999999999954525,0.5000000000009663,-0.5000000000009663,0.0,-0.0
2026-01-14,2.049999999999997,2.105000000000004,2.1650000000000063,2.230000000000004,2.2900000000000063,2.3499999999999943,2.405000000000001,2.4599999999999937,2.515000000000001,2.230000000000004,2.1650000000000063,2.347,2.376249999999999,2.376249999999999,2.515000000000001,11.6999999999996,14.624999999999488,28.4999999999997,21.12499999999926,22.499999999999474,18.000000000000682,-1.5000000000000568,-1.5000000000000568,-1.0000000000005116,-1.999999999999602,-2.500000000000524,-2.100000000000346,-2.2500000000004405,-1.5000000000000568,-1.5000000000000568,-2.500000000000524,-0.6000000000002892,0.6000000000002892,-0.7500000000003837,0.7500000000003837,-1.000000000000469,1.000000000000469,-0.7500000000003837,0.7500000000003837,-0.5000000000009237,0.5000000000009237,-0.49999999999954525,0.49999999999954525
2026-01-15,2.075000000000003,2.1299999999999955,2.194999999999993,2.2549999999999955,2.3149999999999977,2.375,2.430000000000007,2.480000000000004,2.530000000000001,2.2549999999999955,2.194999999999993,2.371000000000001,2.400000000000002,2.400000000000002,2.530000000000001,11.600000000000543,14.500000000000668,27.50000000000057,20.500000000000895,21.50000000000034,17.99999999999926,2.4999999999991473,2.9999999999986926,2.5000000000005684,2.4999999999991473,1.5000000000000124,2.400000000000091,2.375000000000327,2.4999999999991473,2.9999999999986926,1.5000000000000124,-0.0999999999990564,0.0999999999990564,-0.1249999999988205,0.1249999999988205,-0.9999999999991331,0.9999999999991331,-0.6249999999983658,0.6249999999983658,-0.9999999999991331,0.9999999999991331,-1.4210854715202004e-12,1.4210854715202004e-12
