date,jun27_price,jun28_price,price_spread_jun28_minus_jun27,rate_spread_jun28_minus_jun27_bp
2026-03-02,97.88,97.73,-0.14999999999999147,14.999999999999147
2026-03-03,97.75,97.615,-0.13500000000000512,13.500000000000512
2026-03-04,97.83,97.675,-0.15500000000000114,15.500000000000114
2026-03-05,97.68,97.535,-0.14500000000001023,14.500000000001023
2026-03-06,97.56,97.46,-0.10000000000000853,10.000000000000853
2026-03-09,97.51,97.455,-0.05500000000000682,5.500000000000682
2026-03-10,97.65,97.555,-0.09499999999999886,9.499999999999886
2026-03-11,97.455,97.415,-0.03999999999999204,3.999999999999204
2026-03-12,97.41,97.4,-0.009999999999990905,0.9999999999990905
2026-03-13,97.395,97.38,-0.015000000000000568,1.5000000000000568
2026-03-16,97.44,97.415,-0.024999999999991473,2.4999999999991473
2026-03-17,97.47,97.44,-0.030000000000001137,3.0000000000001137
2026-03-18,97.38,97.385,0.005000000000009663,-0.5000000000009663
2026-03-19,97.25,97.355,0.10500000000000398,-10.500000000000398
2026-03-20,97.135,97.275,0.14000000000000057,-14.000000000000057
2026-03-23,97.22,97.295,0.07500000000000284,-7.500000000000284
2026-03-24,97.135,97.265,0.12999999999999545,-12.999999999999545
2026-03-25,97.2,97.33,0.12999999999999545,-12.999999999999545
2026-03-26,97.075,97.22,0.14499999999999602,-14.499999999999602
2026-03-27,97.04,97.17,0.12999999999999545,-12.999999999999545
2026-03-30,97.15,97.265,0.11499999999999488,-11.499999999999488
2026-03-31,97.17,97.285,0.11499999999999488,-11.499999999999488
2026-04-01,97.22,97.315,0.09499999999999886,-9.499999999999886
2026-04-02,97.2,97.32,0.11999999999999034,-11.999999999999034
2026-04-07,97.05,97.185,0.13500000000000512,-13.500000000000512
2026-04-08,97.39,97.405,0.015000000000000568,-1.5000000000000568
2026-04-09,97.285,97.315,0.030000000000001137,-3.0000000000001137
2026-04-10,97.28,97.32,0.03999999999999204,-3.999999999999204
2026-04-13,97.2,97.27,0.06999999999999318,-6.999999999999318
2026-04-14,97.32,97.345,0.025000000000005684,-2.5000000000005684
2026-04-15,97.33,97.355,0.025000000000005684,-2.5000000000005684
2026-04-16,97.345,97.35,0.0049999999999954525,-0.49999999999954525
2026-04-17,97.47,97.44,-0.030000000000001137,3.0000000000001137
2026-04-20,97.43,97.42,-0.010000000000005116,1.0000000000005116
2026-04-21,97.36,97.38,0.01999999999999602,-1.999999999999602
2026-04-22,97.31,97.355,0.045000000000001705,-4.5000000000001705
2026-04-23,97.295,97.345,0.04999999999999716,-4.999999999999716
2026-04-24,97.285,97.345,0.060000000000002274,-6.000000000000227
2026-04-27,97.27,97.335,0.06499999999999773,-6.499999999999773
2026-04-28,97.2,97.3,0.09999999999999432,-9.999999999999432
2026-04-29,97.1,97.24,0.14000000000000057,-14.000000000000057
2026-04-30,97.17,97.32,0.14999999999999147,-14.999999999999147
2026-05-04,97.105,97.28,0.17499999999999716,-17.499999999999716
2026-05-05,97.115,97.29,0.17500000000001137,-17.500000000001137
2026-05-06,97.29,97.385,0.09499999999999886,-9.499999999999886
2026-05-07,97.29,97.38,0.0899999999999892,-8.99999999999892
2026-05-08,97.26,97.37,0.10999999999999943,-10.999999999999943
2026-05-11,97.175,97.315,0.14000000000000057,-14.000000000000057
2026-05-12,97.11,97.245,0.13500000000000512,-13.500000000000512
2026-05-13,97.1,97.23,0.13000000000000966,-13.000000000000966
2026-05-14,97.165,97.275,0.10999999999999943,-10.999999999999943
2026-05-15,97.075,97.185,0.10999999999999943,-10.999999999999943
2026-05-18,97.09,97.175,0.08499999999999375,-8.499999999999375
2026-05-19,97.05,97.145,0.09499999999999886,-9.499999999999886
2026-05-20,97.165,97.245,0.0799999999999983,-7.9999999999998295
2026-05-21,97.14,97.235,0.09499999999999886,-9.499999999999886
2026-05-22,97.195,97.305,0.11000000000001364,-11.000000000001364
2026-05-25,97.34,97.41,0.06999999999999318,-6.999999999999318
2026-05-26,97.265,97.36,0.09499999999999886,-9.499999999999886
2026-05-27,97.295,97.39,0.09499999999999886,-9.499999999999886
2026-05-28,97.335,97.43,0.09500000000001307,-9.500000000001307
2026-05-29,97.355,97.465,0.10999999999999943,-10.999999999999943
2026-06-01,97.215,97.37,0.15500000000000114,-15.500000000000114
2026-06-02,97.245,97.405,0.1599999999999966,-15.999999999999659
2026-06-03,97.175,97.33,0.15500000000000114,-15.500000000000114
2026-06-04,97.2,97.34,0.14000000000000057,-14.000000000000057
2026-06-05,97.17,97.295,0.125,-12.5
