date,spread_bp,price_spread_points,observation
2026-08-26,26.999999999999602,-0.269999999999996,settlement
2026-08-27,27.999999999998693,-0.2799999999999869,settlement
2026-08-28,32.00000000000074,-0.3200000000000074,settlement
2026-09-01,37.999999999999545,-0.37999999999999545,settlement
2026-09-02,40.99999999999966,-0.4099999999999966,settlement
2026-09-03,34.99999999999943,-0.3499999999999943,settlement
2026-09-04,35.5000000000004,-0.355000000000004,settlement
2026-09-07,37.5,-0.375,settlement
2026-09-08,39.00000000000006,-0.39000000000000057,settlement
2026-09-09,46.50000000000034,-0.4650000000000034,settlement
2026-09-10,57.99999999999983,-0.5799999999999983,settlement
2026-09-11,53.49999999999966,-0.5349999999999966,settlement
2026-09-14,59.499999999999886,-0.5949999999999989,settlement
2026-09-15,58.499999999999375,-0.5849999999999937,settlement
2026-09-16,50.0,-0.5,settlement
2026-09-17,50.0,-0.5,settlement
2026-09-18,62.99999999999963,-0.6299999999999963,settlement
2026-09-21,56.49999999999977,-0.5649999999999977,settlement
2026-09-22,56.99999999999932,-0.5699999999999932,settlement
2026-09-23,61.49999999999949,-0.6149999999999949,intraday screenshot
