date,Z26_rate,U27_rate,Z26_price,U27_price,spread_U27_minus_Z26_bp
2021-09-21,0.9599999999999936,1.0250000000000057,99.04,98.975,6.500000000001204
2021-09-22,0.9699999999999988,1.0349999999999966,99.03,98.965,6.499999999999783
2021-09-23,1.0300000000000011,1.0799999999999983,98.97,98.92,4.999999999999716
2021-09-24,1.0499999999999972,1.1149999999999949,98.95,98.885,6.499999999999773
2021-09-27,1.0699999999999932,1.1299999999999957,98.93,98.87,6.00000000000025
2021-09-28,1.1149999999999949,1.1899999999999975,98.885,98.81,7.500000000000262
2021-09-29,1.0999999999999943,1.1749999999999972,98.9,98.825,7.500000000000284
2021-09-30,1.1749999999999972,1.2249999999999943,98.825,98.775,4.999999999999716
2021-10-01,1.1550000000000011,1.2150000000000034,98.845,98.785,6.000000000000227
2021-10-04,1.1350000000000051,1.2049999999999983,98.865,98.795,6.999999999999318
2021-10-05,1.2150000000000034,1.2800000000000011,98.785,98.72,6.499999999999773
2021-10-06,1.2099999999999935,1.2800000000000011,98.79,98.72,7.000000000000761
2021-10-07,1.2099999999999935,1.2800000000000011,98.79,98.72,7.000000000000761
2021-10-08,1.2549999999999957,1.3149999999999975,98.745,98.685,6.000000000000183
2021-10-11,1.2750000000000057,1.3499999999999943,98.725,98.65,7.499999999998863
2021-10-12,1.230000000000004,1.3100000000000025,98.77,98.69,7.999999999999852
2021-10-13,1.1200000000000043,1.1850000000000025,98.88,98.815,6.499999999999817
2021-10-14,1.0849999999999935,1.1550000000000011,98.915,98.845,7.000000000000761
2021-10-15,1.125,1.1899999999999975,98.875,98.81,6.49999999999975
2021-10-18,1.0900000000000034,1.1650000000000065,98.91,98.835,7.500000000000306
2021-10-19,1.1400000000000006,1.1899999999999975,98.86,98.81,4.999999999999694
2021-10-20,1.144999999999996,1.1749999999999972,98.855,98.825,3.0000000000001137
2021-10-21,1.2150000000000034,1.2399999999999949,98.785,98.76,2.4999999999991473
2021-10-22,1.2049999999999983,1.230000000000004,98.795,98.77,2.5000000000005684
2021-10-25,1.1749999999999972,1.2000000000000028,98.825,98.8,2.5000000000005684
2021-10-26,1.1500000000000057,1.1749999999999972,98.85,98.825,2.4999999999991473
2021-10-27,1.0400000000000065,1.1099999999999994,98.96,98.89,6.999999999999296
2021-10-28,1.0250000000000057,1.0849999999999935,98.975,98.915,5.999999999998784
2021-10-29,1.0799999999999983,1.1400000000000006,98.92,98.86,6.000000000000227
2021-11-01,1.125,1.1700000000000017,98.875,98.83,4.5000000000001705
2021-11-02,1.0699999999999932,1.1200000000000043,98.93,98.88,5.000000000001115
2021-11-03,1.1200000000000043,1.144999999999996,98.88,98.855,2.4999999999991696
2021-11-04,0.9899999999999948,1.0349999999999966,99.01,98.965,4.500000000000181
2021-11-05,0.9399999999999976,0.9899999999999948,99.06,99.01,4.999999999999716
2021-11-08,0.9549999999999984,1.0100000000000051,99.045,98.99,5.5000000000006715
2021-11-09,0.9599999999999936,1.0100000000000051,99.04,98.99,5.0000000000011475
2021-11-10,1.0300000000000011,1.0849999999999935,98.97,98.915,5.499999999999239
2021-11-11,1.0600000000000025,1.105000000000004,98.94,98.895,4.500000000000148
2021-11-12,1.0499999999999972,1.0999999999999943,98.95,98.9,4.999999999999716
2021-11-15,1.0900000000000034,1.125,98.91,98.875,3.499999999999659
2021-11-16,1.1299999999999957,1.1599999999999966,98.87,98.84,3.0000000000000915
2021-11-17,1.1099999999999994,1.1350000000000051,98.89,98.865,2.5000000000005684
2021-11-18,1.0400000000000065,1.0550000000000068,98.96,98.945,1.5000000000000346
2021-11-19,0.9899999999999948,1.0049999999999957,99.01,98.995,1.5000000000000902
2021-11-22,1.0349999999999966,1.0300000000000011,98.965,98.97,-0.49999999999954525
2021-11-23,1.0699999999999932,1.0649999999999975,98.93,98.935,-0.49999999999956746
2021-11-24,1.125,1.144999999999996,98.875,98.855,1.999999999999602
2021-11-25,1.0849999999999935,1.0849999999999935,98.915,98.915,0.0
2021-11-26,0.9500000000000028,0.9599999999999936,99.05,99.04,0.9999999999990794
2021-11-29,0.9699999999999988,0.980000000000004,99.03,99.02,1.0000000000005227
2021-11-30,0.9599999999999936,0.9699999999999988,99.04,99.03,1.0000000000005116
2021-12-01,0.9650000000000034,0.9749999999999944,99.035,99.025,0.9999999999991016
2021-12-02,0.9249999999999972,0.9350000000000024,99.075,99.065,1.0000000000005227
2021-12-03,0.894999999999996,0.9099999999999966,99.105,99.09,1.5000000000000568
2021-12-06,0.8649999999999949,0.875,99.135,99.125,1.0000000000005116
2021-12-07,0.8349999999999937,0.8449999999999989,99.165,99.155,1.0000000000005116
2021-12-08,0.8349999999999937,0.8499999999999943,99.165,99.15,1.5000000000000568
2021-12-09,0.8199999999999932,0.8250000000000028,99.18,99.175,0.5000000000009663
2021-12-10,0.7999999999999972,0.8149999999999977,99.2,99.185,1.5000000000000568
2021-12-13,0.7750000000000057,0.7800000000000011,99.225,99.22,0.49999999999954525
2021-12-14,0.7950000000000017,0.8050000000000068,99.205,99.195,1.0000000000005116
2021-12-15,0.7999999999999972,0.8149999999999977,99.2,99.185,1.5000000000000568
2021-12-16,0.8250000000000028,0.8400000000000034,99.175,99.16,1.5000000000000568
2021-12-17,0.8349999999999937,0.8499999999999943,99.165,99.15,1.5000000000000568
2021-12-20,0.8499999999999943,0.855000000000004,99.15,99.145,0.5000000000009663
2021-12-21,0.980000000000004,0.9849999999999994,99.02,99.015,0.49999999999954525
2021-12-22,1.0250000000000057,1.0300000000000011,98.975,98.97,0.49999999999954525
2021-12-23,1.0699999999999932,1.0750000000000028,98.93,98.925,0.5000000000009663
2021-12-24,1.0600000000000025,1.0649999999999975,98.94,98.935,0.49999999999950084
2021-12-27,1.0600000000000025,1.0649999999999975,98.94,98.935,0.49999999999950084
2021-12-28,1.0600000000000025,1.0649999999999975,98.94,98.935,0.49999999999950084
2021-12-29,1.1400000000000006,1.144999999999996,98.86,98.855,0.49999999999954525
2021-12-30,1.1200000000000043,1.125,98.88,98.875,0.49999999999956746
2021-12-31,1.0799999999999983,1.0849999999999935,98.92,98.915,0.49999999999952305
2022-01-03,1.0799999999999983,1.0849999999999935,98.92,98.915,0.49999999999952305
2022-01-04,1.1650000000000065,1.1650000000000065,98.835,98.835,0.0
2022-01-05,1.1500000000000057,1.1500000000000057,98.85,98.85,0.0
2022-01-06,1.2150000000000034,1.2150000000000034,98.785,98.785,0.0
2022-01-07,1.2399999999999949,1.25,98.76,98.75,1.0000000000005116
2022-01-10,1.2549999999999957,1.2650000000000006,98.745,98.735,1.0000000000004894
2022-01-11,1.25,1.2650000000000006,98.75,98.735,1.5000000000000568
2022-01-12,1.2150000000000034,1.2549999999999957,98.785,98.745,3.9999999999992264
2022-01-13,1.1949999999999932,1.2399999999999949,98.805,98.76,4.5000000000001705
2022-01-14,1.2249999999999943,1.269999999999996,98.775,98.73,4.5000000000001705
2022-01-17,1.25,1.2950000000000017,98.75,98.705,4.5000000000001705
2022-01-18,1.2800000000000011,1.3250000000000028,98.72,98.675,4.5000000000001705
2022-01-19,1.3199999999999932,1.4000000000000057,98.68,98.6,8.00000000000125
2022-01-20,1.2800000000000011,1.3649999999999949,98.72,98.635,8.499999999999375
2022-01-21,1.230000000000004,1.3149999999999975,98.77,98.685,8.499999999999353
2022-01-24,1.2049999999999983,1.2999999999999972,98.795,98.7,9.499999999999886
2022-01-25,1.2150000000000034,1.3100000000000025,98.785,98.69,9.499999999999908
2022-01-26,1.2750000000000057,1.3700000000000043,98.725,98.63,9.499999999999865
2022-01-27,1.2849999999999966,1.3850000000000051,98.715,98.615,10.000000000000853
2022-01-28,1.2849999999999966,1.3850000000000051,98.715,98.615,10.000000000000853
2022-01-31,1.3349999999999935,1.4300000000000068,98.665,98.57,9.500000000001329
2022-02-01,1.355000000000004,1.4399999999999975,98.645,98.56,8.499999999999353
2022-02-02,1.3199999999999932,1.4050000000000011,98.68,98.595,8.500000000000796
2022-02-03,1.394999999999996,1.4650000000000034,98.605,98.535,7.000000000000739
2022-02-04,1.4099999999999966,1.480000000000004,98.59,98.52,7.000000000000739
2022-02-07,1.4249999999999972,1.4950000000000043,98.575,98.505,7.000000000000717
2022-02-08,1.5250000000000057,1.605000000000004,98.475,98.395,7.9999999999998295
2022-02-09,1.5049999999999957,1.5649999999999975,98.495,98.435,6.000000000000183
2022-02-10,1.6099999999999994,1.6350000000000051,98.39,98.365,2.5000000000005684
2022-02-11,1.6749999999999972,1.6500000000000057,98.325,98.35,-2.4999999999991473
2022-02-14,1.7150000000000034,1.6899999999999975,98.285,98.31,-2.5000000000005906
2022-02-15,1.7099999999999935,1.7000000000000028,98.29,98.3,-0.9999999999990683
2022-02-16,1.6099999999999994,1.6599999999999966,98.39,98.34,4.999999999999716
2022-02-17,1.5849999999999935,1.6200000000000043,98.415,98.38,3.50000000000108
2022-02-18,1.5349999999999966,1.5699999999999932,98.465,98.43,3.499999999999659
2022-02-21,1.5699999999999932,1.5999999999999943,98.43,98.4,3.0000000000001137
2022-02-22,1.6350000000000051,1.6650000000000065,98.365,98.335,3.000000000000136
2022-02-23,1.625,1.6500000000000057,98.375,98.35,2.5000000000005684
2022-02-24,1.6299999999999957,1.6700000000000017,98.37,98.33,4.000000000000603
2022-02-25,1.644999999999996,1.6850000000000025,98.355,98.315,4.0000000000006475
2022-02-28,1.6299999999999957,1.6749999999999972,98.37,98.325,4.500000000000148
2022-03-01,1.4350000000000025,1.5750000000000028,98.565,98.425,14.000000000000036
2022-03-02,1.5150000000000006,1.625,98.485,98.375,10.999999999999943
2022-03-03,1.5999999999999943,1.7099999999999935,98.4,98.29,10.999999999999922
2022-03-04,1.6099999999999994,1.7249999999999943,98.39,98.275,11.499999999999488
2022-03-07,1.6700000000000017,1.7549999999999957,98.33,98.245,8.499999999999396
2022-03-08,1.75,1.7950000000000017,98.25,98.205,4.5000000000001705
2022-03-09,1.8050000000000068,1.8250000000000028,98.195,98.175,1.999999999999602
2022-03-10,1.8349999999999935,1.8700000000000043,98.165,98.13,3.50000000000108
2022-03-11,1.8400000000000036,1.875,98.16,98.125,3.4999999999996367
2022-03-14,1.885000000000005,1.9000000000000057,98.115,98.1,1.500000000000079
2022-03-15,1.8599999999999997,1.8900000000000008,98.14,98.11,3.0000000000001137
2022-03-16,1.8900000000000008,1.9350000000000025,98.11,98.065,4.5000000000001705
2022-03-17,1.8100000000000025,1.855000000000004,98.19,98.145,4.500000000000148
2022-03-18,1.7800000000000011,1.8199999999999927,98.22,98.18,3.99999999999916
2022-03-21,1.8599999999999997,1.9050000000000007,98.14,98.095,4.500000000000104
2022-03-22,1.9599999999999935,1.9950000000000043,98.04,98.005,3.50000000000108
2022-03-23,1.9249999999999967,1.9549999999999983,98.075,98.045,3.000000000000158
2022-03-24,1.894999999999996,1.9399999999999975,98.105,98.06,4.500000000000148
2022-03-25,1.9249999999999967,1.9699999999999989,98.075,98.03,4.500000000000215
2022-03-28,1.8799999999999957,1.9200000000000017,98.12,98.08,4.000000000000603
2022-03-29,1.9150000000000065,1.9549999999999983,98.085,98.045,3.999999999999182
2022-03-30,1.9399999999999975,1.980000000000004,98.06,98.02,4.0000000000006475
2022-03-31,1.894999999999996,1.9350000000000025,98.105,98.065,4.0000000000006475
2022-04-01,1.9050000000000007,1.9500000000000028,98.095,98.05,4.500000000000215
2022-04-04,1.8299999999999983,1.8700000000000043,98.17,98.13,4.000000000000603
2022-04-05,1.9150000000000065,1.9500000000000028,98.085,98.05,3.4999999999996367
2022-04-06,1.9849999999999997,2.0250000000000057,98.015,97.975,4.000000000000603
2022-04-07,2.0049999999999955,2.0450000000000017,97.995,97.955,4.000000000000625
2022-04-08,2.019999999999996,2.055000000000007,97.98,97.945,3.50000000000108
2022-04-11,2.114999999999995,2.1299999999999955,97.885,97.87,1.5000000000000568
2022-04-12,2.0900000000000034,2.1099999999999994,97.91,97.89,1.999999999999602
2022-04-13,2.094999999999999,2.114999999999995,97.905,97.885,1.999999999999602
2022-04-14,2.174999999999997,2.2099999999999937,97.825,97.79,3.499999999999659
2022-04-18,2.174999999999997,2.2099999999999937,97.825,97.79,3.499999999999659
2022-04-19,2.260000000000005,2.319999999999993,97.74,97.68,5.999999999998806
2022-04-20,2.194999999999993,2.2549999999999955,97.805,97.745,6.000000000000227
2022-04-21,2.2099999999999937,2.2750000000000057,97.79,97.725,6.500000000001194
2022-04-22,2.1899999999999977,2.25,97.81,97.75,6.000000000000227
2022-04-25,2.0900000000000034,2.1500000000000057,97.91,97.85,6.000000000000227
2022-04-26,2.0349999999999966,2.094999999999999,97.965,97.905,6.000000000000227
2022-04-27,2.0349999999999966,2.0999999999999943,97.965,97.9,6.499999999999773
2022-04-28,2.094999999999999,2.1599999999999966,97.905,97.84,6.499999999999773
2022-04-29,2.114999999999995,2.180000000000007,97.885,97.82,6.500000000001194
2022-05-02,2.114999999999995,2.180000000000007,97.885,97.82,6.500000000001194
2022-05-03,2.1650000000000063,2.230000000000004,97.835,97.77,6.499999999999773
2022-05-04,2.2049999999999983,2.265000000000001,97.795,97.735,6.000000000000272
2022-05-05,2.2049999999999983,2.265000000000001,97.795,97.735,6.000000000000272
2022-05-06,2.280000000000001,2.3400000000000034,97.72,97.66,6.000000000000227
2022-05-09,2.265000000000001,2.325000000000003,97.735,97.675,6.000000000000183
2022-05-10,2.2150000000000034,2.265000000000001,97.785,97.735,4.99999999999976
2022-05-11,2.2049999999999983,2.2450000000000045,97.795,97.755,4.000000000000625
2022-05-12,2.055000000000007,2.0849999999999937,97.945,97.915,2.9999999999986926
2022-05-13,2.055000000000007,2.0799999999999983,97.945,97.92,2.4999999999991473
2022-05-16,2.069999999999993,2.0999999999999943,97.93,97.9,3.0000000000001137
2022-05-17,2.1899999999999977,2.219999999999999,97.81,97.78,3.0000000000001137
2022-05-18,2.140000000000001,2.1700000000000017,97.86,97.83,3.0000000000000693
2022-05-19,2.135000000000005,2.1599999999999966,97.865,97.84,2.4999999999991473
2022-05-20,2.1899999999999977,2.2099999999999937,97.81,97.79,1.999999999999602
2022-05-23,2.2349999999999994,2.239999999999995,97.765,97.76,0.49999999999954525
2022-05-24,2.1599999999999966,2.174999999999997,97.84,97.825,1.5000000000000568
2022-05-25,2.1899999999999977,2.2049999999999983,97.81,97.795,1.5000000000000568
2022-05-26,2.280000000000001,2.2950000000000017,97.72,97.705,1.5000000000000568
2022-05-27,2.2349999999999994,2.25,97.765,97.75,1.5000000000000568
2022-05-30,2.265000000000001,2.280000000000001,97.735,97.72,1.5000000000000124
2022-05-31,2.3799999999999955,2.394999999999996,97.62,97.605,1.5000000000000568
2022-06-01,2.4200000000000017,2.4399999999999977,97.58,97.56,1.999999999999602
2022-06-02,2.4200000000000017,2.4399999999999977,97.58,97.56,1.999999999999602
2022-06-03,2.4200000000000017,2.4399999999999977,97.58,97.56,1.999999999999602
2022-06-06,2.5,2.515000000000001,97.5,97.485,1.5000000000001013
2022-06-07,2.4599999999999937,2.4749999999999943,97.54,97.525,1.5000000000000568
2022-06-08,2.469999999999999,2.4950000000000045,97.53,97.505,2.5000000000005684
2022-06-09,2.5649999999999977,2.5900000000000034,97.435,97.41,2.5000000000005684
2022-06-10,2.635000000000005,2.644999999999996,97.365,97.355,0.9999999999990905
2022-06-13,2.7549999999999955,2.75,97.245,97.25,-0.49999999999954525
2022-06-14,2.7900000000000063,2.780000000000001,97.21,97.22,-1.0000000000005116
2022-06-15,2.7549999999999955,2.7849999999999966,97.245,97.215,3.0000000000001137
2022-06-16,2.8100000000000023,2.844999999999999,97.19,97.155,3.499999999999659
2022-06-17,2.739999999999995,2.765000000000001,97.26,97.235,2.500000000000613
2022-06-20,2.8700000000000045,2.894999999999996,97.13,97.105,2.4999999999991473
2022-06-21,2.9150000000000063,2.9350000000000023,97.085,97.065,1.999999999999602
2022-06-22,2.730000000000004,2.75,97.27,97.25,1.999999999999602
2022-06-23,2.5600000000000023,2.575000000000003,97.44,97.425,1.5000000000000568
2022-06-24,2.5600000000000023,2.5900000000000034,97.44,97.41,3.0000000000001137
2022-06-27,2.6650000000000063,2.6899999999999977,97.335,97.31,2.4999999999991473
2022-06-28,2.7549999999999955,2.780000000000001,97.245,97.22,2.5000000000005684
2022-06-29,2.6850000000000023,2.7099999999999937,97.315,97.29,2.4999999999991473
2022-06-30,2.5900000000000034,2.6099999999999994,97.41,97.39,1.999999999999602
2022-07-01,2.364999999999995,2.4150000000000063,97.635,97.585,5.000000000001137
2022-07-04,2.480000000000004,2.530000000000001,97.52,97.47,4.999999999999716
2022-07-05,2.390000000000001,2.4399999999999977,97.61,97.56,4.999999999999671
2022-07-06,2.405000000000001,2.444999999999993,97.595,97.555,3.999999999999204
2022-07-07,2.4549999999999983,2.4950000000000045,97.545,97.505,4.000000000000625
2022-07-08,2.555000000000007,2.594999999999999,97.445,97.405,3.999999999999204
2022-07-11,2.480000000000004,2.510000000000005,97.52,97.49,3.0000000000001137
2022-07-12,2.375,2.405000000000001,97.625,97.595,3.0000000000001137
2022-07-13,2.375,2.405000000000001,97.625,97.595,3.0000000000001137
2022-07-14,2.375,2.4000000000000057,97.625,97.6,2.5000000000005684
2022-07-15,2.394999999999996,2.424999999999997,97.605,97.575,3.0000000000001137
2022-07-18,2.4549999999999983,2.4849999999999994,97.545,97.515,3.0000000000001137
2022-07-19,2.5049999999999955,2.5400000000000063,97.495,97.46,3.50000000000108
2022-07-20,2.430000000000007,2.4549999999999983,97.57,97.545,2.4999999999991473
